shortdefinitions{
<ανά>γνωστος|hard to read
παρεγγυάω|hand over
παρεγγυητέον|one must advise, recommend
παρεγγύη|command
παρεγγύημα|command
παρεγγύησις|passing on the word of command
παρεγείρω|raise partly
παρεγκάμπτω|bend aside
παρεγκάπτω|swallow besides
παρεγκελεύομαι|exhort
παρεγκεράννυμι|mix in besides
παρεγκεφαλίς|cerebellum
παρεγκλίνω|cause to incline sideways
παρεγκλιτικός|in a slanting direction
παρεγκυκλέω|introduce
παρεγκόπτω|intercept, stop
παρεγκύκλημα|something added to a drama, interlude
παρεγχέω|pour in beside
παρεγχείρησις|encroaching on other people's business
παρεγχειρέω|interfere with
παρεγχρίμπτομαι|approach
παρεγχρώννυμι|touch slightly, allude to
παρεγχυματίζω|drop in
παρεγχωρεῖ|it is also allowed
παρεδρία|attendance
παρεδρεία|attendance
παρεδρευτικός|persistent
παρεδρεύω|wait, attend upon
παρεδρικῶς|after the manner of a familiar spirit
παρειά|cheek
παρειάς2|bandage for the cheek
παρειάς|bandage for the cheek
παρεικάζω|liken, compare
παρειλέω|wind round
παρειμένως|remissly, slackly
παρεισάγω|lead in by one's side, bring forward, introduce
παρεισέρπω|creep in secretly
παρεισέρχομαι|come or go in beside
παρεισαγωγή|introduction
παρεισβάλλω|throw in beside or secretly
παρεισβαίνω|enter
παρεισβιάζομαι|force one's way in
παρεισγραφή|illegal registration
παρεισδέχομαι|take in beside or as well
παρεισδύνω|slip in, penetrate
παρεισκομίζω|bring in
παρεισκρίνω|bring in, introduce beside
παρεισκυκλέω|smuggle in
παρεισοδεύω|cause to walk
παρεισπέμπω|let in
παρεισπίπτω|get in by the side, steal in
παρεισπορεύομαι|enter
παρεισπράσσω|exact beside what is due
παρεισρέω|flow or stream in
παρεισφέρω|bring in beside
παρεισφθείρομαι|steal in to the hurt
παρεισφρέω|slip in
παρεισχέω|pour in beside
παρεκβάλλω|throw out at the side
παρεκβαίνω|step aside from, deviate from
παρεκβατικός|discursive
παρεκβολή|digression
παρεκβολεύομαι|narrate in a digression
παρεκβολικός|discursive
παρεκδέχομαι|take in a wrong sense, misconstrue
παρεκδίδωμι|give in marriage secretly
παρεκδοχή|varieties of interpretation
παρεκδύομαι|slip out secretly
παρεκεῖ|thereabouts
παρεκθέω|run past
παρεκθλίβω|jostle aside
παρεκκαθαίρω|clear up, explain incidentally
παρεκκλίνω|turn somewhat aside
παρεκλέγω|collect covertly
παρεκλείπω|leave out
παρεκλύω|relieve from
παρεκμανθάνω|learn incidentally or gradually
παρεκνέομαι|sail past
παρεκνεύω|diverge from
παρεκπέμπω|convey forth
παρεκπίπτω|slope
παρεκπεράω|go past
παρεκπληρόω|pack
παρεκπροφεύγω|flee forth from, elude one's grasp
παρεκπυρόομαι|take fire by the way
παρεκπύρωσις|taking fire by the side
παρεκρέω|run out at the side
παρεκρίπτω|throw up
παρεκστροφή|turning towards
παρεκτέον|one must furnish, afford
παρεκτίθημι|set forth
παρεκτατέον|one must attribute extension to
παρεκτείνω|stretch out in line, deploy
παρεκτελέω|accomplish against one's wish
παρεκτικός|able to cause
παρεκτρέπω|turn aside
παρεκτρέχω|run out past
παρεκτρίβομαι|suffer friction
παρεκτροπή|turning aside, diverting
παρεκτροχάζω|pass by
παρεκτός|besides or except for
παρεκφέρω|abuse
παρεκφαίνομαι|appear beside or gradually
παρεκχέω|pour out by degrees
παρελέγχω|rebuke
παρελαύνω|drive by or past
παρελκυ<σ>τής|one who protracts
παρελκυσμός|protraction
παρελκόντως|superfluously
παρελπίζω|to be disappointed in one's hopes of
παρεμβάλλω|put in beside or between, insert, interpose
παρεμβαίνω|fit in
παρεμβλέπω|look askance
παρεμβλαστάνω|grow in beside
παρεμβολή|insertion, interpolation
παρεμβολικός|as in a camp
παρεμβολοειδής|like an interjection
παρεμβολοθέτης|one who fixes a camp
παρεμβύω|stuffin
παρεμμίγνυμι|mix in besides
παρεμμαίνομαι|to be somewhat mad
παρεμμανής|somewhat mad
παρεμπάσσω|sprinkle or mix in besides
παρεμπίνω|drink to excess
παρεμπίπλημι|fill secretly with
παρεμπίπραμαι|to be chafed by rubbing
παρεμπίπτω|creep in, effect an entrance
παρεμπηδάω|make an incursion, interfere
παρεμπλέκω|insert
παρεμπλαστικός|of or for stopping the pores
παρεμπλοκή|fitting in, inclusion
παρεμποδίζω|to be a hindrance
παρεμποδισμός|obstruction
παρεμποδών|in the way
παρεμποιέω|create in
παρεμπολάω|traffic underhand in
παρεμπορεύομαι|traffic in besides
παρεμπόρευμα|merchandise of small value, small gains
παρεμφάρακτος|cerritus
παρεμφέρω|to be somewhat like
παρεμφαίνω|display along with
παρεμφατικός|indicative
παρεμφερής|somewhat like
παρεμφράσσω|block up beside
παρεμφύομαι|grow in beside, hang upon
παρεναλλάσσομαι|to be interchanged
παρεναλλαγή|dislocation
παρενδίδωμι|give in
παρενδείκνυμαι|exhibit
παρενδημέω|take up residence in
παρενδύομαι|slip in
παρενείρω|put in by the side
παρενεκτέον|one must bring in, apply
παρενεῖδον|take a side look at
παρενθήκη|something put in beside, addition
παρενθυμέομαι|disregard
παρενθύμησις|want of attention, disregard
παρενιαυτοφόρος|fruiting every other year
παρεννέπω|tell tales
παρενοχλέω|cause
παρενσαλεύω|swing to and fro
παρενσπείρομαι|to be strewn among
παρενστάζω|let drop in besides or by mistake
παρενσφηνόομαι|to be wedged in beside, 'impacted'
παρεντάττω|insert
παρεντίθημι|insert
παρεντείνω|stretch beside
παρεντρώγω|gnaw besides
παρεντυγχάνω|any chance comer
παρεντυχία|meeting by chance
παρενυφαίνω|interweave
παρενόχλημα|annoyance
παρενόχλησις|annoyance
παρεξάγω|lead past
παρεξέλεγχος|confutation on a side-issue
παρεξέρχομαι|slip past
παρεξίημι|allow to pass through
παρεξίστημι|remove from its place
παρεξαίρω|thrust up
παρεξαγωγή|march past
παρεξαιρέω|take out
παρεξαλλάττω|change
παρεξαμείβω|go or sail by
παρεξαρκέω|last out, be extant
παρεξαυλέω|worn out by being played upon
παρεξειρεσία|outrigger, oar-box
παρεξελέγχω|confute on a side-issue
παρεξελαύνω|drive past, pass
παρεξερέομαι|interrogate
παρεξετάζω|put
παρεξευρίσκω|find out besides
παρεξεύρημα|invention, pretext
παρεξηγέομαι|misinterpret
παρεξισόω|place beside as equal, rank with
παρεξουδενέω|set at naught
παρεξωθέω|push along sideways
παρεοικότως|in a manner somewhat like
παρεπέχω|suspend for a time
παρεπίδημος|sojourning in a strange place
παρεπίδικος|veterator
παρεπαίρομαι|to be puffed up
παρεπαίσθημα|supplement of sensation
παρεπαισθάνομαι|supplement sensation
παρεπιβοηθέω|come in addition to help
παρεπιγράφω|write by the side of an inscription
παρεπιγραφή|something written in the margin
παρεπιδαμίων|sojourn as a stranger in a place
παρεπιδείκνυμι|point out beside or at the same time
παρεπιδημία|residence in a foreign city
παρεπικουρέω|to be a help to
παρεπικρίνω|criticize unfairly
παρεπιμένω|continue, survive
παρεπιμολύνω|overlay with foreign matter
παρεπινοέω|invent besides
παρεπιπάσσω|sprinkle beside
παρεπιπλέκομαι|to be in conjunction
παρεπισκοπέω|examine besides or also
παρεπισπάομαι|draw to oneself, claim
παρεπιστέλλω|issue instructions
παρεπιστρέφω|turn aside
παρεπιστροφή|turning round in passing
παρεπιτείνομαι|become intensified
παρεπιτηδεύομαι|practise as well
παρεπιτομή|incision at the side
παρεπιφέρω|employ upon
παρεπιφαίνομαι|appear beside
παρεπιχέω|add by pouring
παρεπιψαύω|graze
παρερέττω|move as with oars
παρεργάτης|workman in addition
παρεργολαβέω|convert to one's own use
παρερεθίζω|irritate
παρερμηνεύω|misinterpret
παρερύω|draw along the side
παρεσθίω|eat besides
παρετάζω|put beside and compare
παρετέον|one must let pass, neglect
παρετοιμάζω|make ready besides
παρετοιμασία|preparation
παρετυμολογέω|allude to the etymology
παρευδιάζομαι|live at peace with one's neighbours
παρευδιαστής|that comes on land in fine weather
παρευδοκίμησις|superiority in favour
παρευδοκιμέω|surpass in fame
παρευημερέω|flourish, abound
παρευθύνω|control
παρευκηλέω|calm, soothe
παρευλαβέομαι|beware at the same time
παρευμαρέω|think lightly of, hold cheap
παρευνάζομαι|lie beside
παρευνέτις|bedfellow
παρευναστήρ|one who sleeps beside
παρευνετάω|sleep with
παρευρίσκω|discover besides, invent
παρευρημένως|craftily
παρευτακτέω|perform one's duty regularly
παρευτρεπίζω|put in order, arrange, make ready
παρευωχέομαι|feast beside
παρεφάπτομαι|touch on the side
παρεφεδρεύω|lie near to guard : keep guard
παρεφηβεία|status of
παρεφθαρμένως|corruptly
παρεύρεσις|pretext, pretence
παρεῖδον|observe by the way, remark, notice
παρεῖπον|talk over, win over
παρηβάω|to be past one's prime, to be elderly
παρηγέομαι|disregard
παρηγεμονικὰ|associated with the dominant signs, Cat.Cod. Astr.
παρηγμένως|redundantly
παρηγορέω|address, exhort
παρηγορία|exhortation, persuasion
παρηγορητέον|one must assuage, remedy
παρηγορικός|encouraging, consoling
παρηγόρημα|exhortation, consolation
παρηδύνω|sweeten or season
παρηθέω|filter through
παρηκουσμένως|negligently
παρηλλαγμένως|differently, strangely
παρημελημένως|negligently
παρημερεύω|pass the day with
παρηονῖτις|on the shore
παρηορία|side-traces, by which the
παρησυχάζω|pass over in silence
παρηχέομαι|resemble in sound
παρηχητικός|alliterative
παρηόριος|from side to side
παρθένεια2|songs sung by a chorus of maidens
παρθένεια|songs sung by a chorus of maidens
παρθένευμα|pursuits or amusements of maidens
παρθένια2|signs of virginity
παρθένια|signs of virginity
παρθένιον|feverfew, Pyrethrum Parthenium
παρθένιος|of a maiden, maidenly
παρθενίας|son of a concubine
παρθενεία1|virginity
παρθενεία|virginity
παρθενεύω|bring up as a maid
παρθενιανός|born under the sign of Virgo
παρθενικός|of or for a maiden
παρθενοκτονία|slaughter of a maiden
παρθενοκτόνος|maiden-slaying
παρθενοκόμος|taking care of maidens, An.Ox.
παρθενοπίπης|one who ogles maidens, seducer
παρθενοτροφέω|bring up from girlhood
παρθενοτροφητέον|one must keep virgin
παρθενωπός|of maiden aspect
παρθενόσφαγος|of a slaughtered maiden's blood
παρθενόχρως|of maidenly, delicate colour
παρθενώδης|maiden-like
παρθενών|maidens' apartments
παρθεσίη|deposit, pledge
παρθιστί|in the Parthian tongue
παριέρη|ex-priestess
παριαμβίς|air set for the harp
παριαμβώδης|characteristic of the
παριαύω|sleep beside or with
παριδρύω|set up beside
παριλλαίνω|look askance at
παριουργής|wroughtin Paros
παριππασία|riding past
παριππεύω|ride along or over
παριστία|side-hearth
παριστίδιος|at the loom
παριστορέω|inquire by the way
παρισχναίνω|make thin or lean
παρισωτικός|equalizing
παρισότης|approximation
παρισόχρονος|almost contemporaneous
παρισόω|make equal
παρισώδης|after the manner of
παριτέον|one must pass by, omit
παριτητέα|one must come forward
παριτός|accessible
παρκάλισις|unpacking from a wooden crate or transport by rollers
παρμενίδειος|of Parmenides
παρνασός|lon
παρξοά|tooling
παροίγνυμι|open at the side or a little, half-open
παροίδησις|swelling
παροίκησις|dwelling beside
παροίμιον|proverbium
παροίνημα|drunkard's butt
παροίνιος|befitting a drinking party
παροίστρησις|frenzy, madness, PMag. Par.
παροίτερος|before
παροίχησις|departure
παροίχομαι|to have passed by
παρογκόομαι|to be slightly curved
παροδία|by-road
παροδίτης|passer-by, traveller
παροδεία|passing by
παροδευτικός|causing to pass
παροδεύω|pass by
παροδικός|of a
παροδοποιέω|make a side-road
παροδύρομαι|lament beside or along with
παροιδίσκω|raise a slight swelling
παροιδαίνω|swell slightly
παροικέω|dwell beside
παροικία|sojourning
παροικίζω|place near
παροικικός|of a colonus
παροικοδομέω|build across or past
παροικοδόμημα|partition wall
παροιμία|proverb, maxim, saw
παροιμιάζω|cite the Proverbs of
παροιμιακός|proverbial
παροιμιαστής|author of proverbs
παροιμιογράφος|collector of proverbs
παροιμιώδης|proverbial
παροινέω|behave ill at wine, play drunken tricks
παροινία|drunken behaviour
παροινικός|addicted to wine, drunken
παροινοχοέω|pour out wine ready for
παροιστράω|provoke, incite
παροκωχή|supplying, furnishing
παρολιγωρέω|neglect, disregard.
παρολιγωρητέον|one must disregard
παρολισθάνω|slip aside
παρολκή|spinning out of time, delay
παρομαρτέω|accompany
παρομοίωσις|assimilation
παρομοιάζω|to be like
παρομοιόω|compare, describe by a comparison
παρομολογέω|grant or admit besides
παρομολογία|partial admission
παρονομάζω|call with a slight change of name
παρονομασία|play upon words which sound alike
παρονοματοποιέω|form a derivative name
παροξίζω|have a somewhat sharp smell
παροξυντέον|one must make paroxytone
παροξυντής|stimulator
παροξυντικός|fit for inciting or urging on
παροξυσμός|irritation, exasperation
παροξυτονέω|pronounce paroxytone
παροξύνω|urge, spur on, stimulate
παροξύτονος|paroxytone (with acute accent on the penultima)
παροπλίζω|disarm
παροπλισμός|disarming
παροπτάω|roast slightly, half-roast, toast
παροπτέος|to be overlooked
παροράω|look at by the way, nolice, remark
παρορέγω|stretch out beside
παρορέω|to be adjacent
παρορία|failure to preserve landmarks
παρορίζω|limit, define
παρορίνω|excite a little
παρορατέον|one must overlook or disregard
παρορατικός|apt to overlook
παροργίζω|provoke to anger
παροργισμός|provocation : anger
παρορισμός|removal of landmarks
παροριστέον|one must set a limit
παροριστής|encroacher
παρορκέω|forswear oneself
παρορμάω|urge on, stimulate, incite
παρορμέω|lie at anchor beside or near
παρορμίζω|bring to anchor alongside the shore
παρορμητικός|stimulative
παρορμιστέον|one must moor beside
παρορφνιδωτός|with a black border
παρορχέομαι|represent in dancing out of season
παρορύσσω|dig alongside or parallel
παροσφραίνω|hold
παροτρυντικός|fit for inciting
παρουάτιος|with hanging ears
παρουλίς|gumboil
παρουλότριχος|with slightly curling hair
παρουσία|presence
παρουσιάζω|to be present
παροφθαλμιστής|praestigiator
παροχέομαι|sit beside in a chariot
παροχέτευσις|diversion, derivation
παροχή|supply, furnishing
παροχετευτέον|one must divert
παροχετευτικός|by diversion
παροχετεύω|turn from its course, divert
παροχεύομαι|copulate with other males
παροχεύς|provider, purveyor
παροχλέω|trouble besides
παροψάομαι|eat dainties
παροψίς|fresh tastes
παροψωνέω|buy dainties
παροψώνημα|addition to the regular fare, dainty
παρούας|chestnut
παρρησία|outspokenness, frankness, freedom of speech
παρρησιάζομαι|speak freely, openly
παρρησιαστής|outspoken person
παρρησιαστικός|outspoken
παρρησιώδης|outspoken
παρσταίη|small book
παρυβρίζομαι|insult
παρυγραίνω|moisten or soften a little
παρυλίζω|make dykes with brushwood
παρυμνέω|celebrate unduly
παρυπάρχω|attend
παρυπάτη|string next the
παρυπαντάω|come into the way of, meet
παρυπατοειδής|sounding like the
παρυπνόω|sleep by or with
παρυπογράφομαι|subjoin
παρυποδύνω|insinuate, adapt oneself
παρυπολαμβάνω|assume falsely
παρυπομιμνήσκω|record incidentally
παρυπονοέω|suppose incidentally
παρυποψύχω|cool gently
παρυπτιάω|to be turned
παρυπόμνησις|reminding by the way
παρυπόστασις|coordinate or parallel existence
παρυφή|border woven along
παρυφής|with a border
παρυφίστημι|place close beside
παρυφαίνω|weave beside or along
παρυφιζάνω|to be a concomitant
παρωθέω|push sideways
παρωκεάνιος|near or on the ocean
παρωκεανῖται|dwellers near the ocean
παρωκεανῖτις|sea-coast
παρωλένιος|next the elbow, on the arm
παρωμίς|shoulderstrap
παρωνυμέω|to be of like signification with
παρωνυμία|by-name, nickname
παρωνυμίασμα|by-name
παρωνυμιάζω|call by a derived name
παρωνυχία|whitlow
παρωνύμησις|denomination
παρωνύμιος|deviating from the sense, slightly altered in sense
παρωπία1|corner of the eye
παρωπία|corner of the eye
παρωπίς|woman's mask
παρωραισμός|unseasonableness
παρωρείτης|mountaineer
παρωρμημένως|violently
παρωροφίς|projecting eaves or cornice
παρωτίς|tumour of the parotid gland
παρό|wherefore
παρόδιος|by or on the roadway
παρόλκημα|towing
παρόμοιος|closely resembling
παρόπτησις|half-roasting or -baking
παρόραμα|oversight, error
παρόρασις|false vision
παρόργισμα|provocation, cause of anger
παρόρειος|near a mountain or mountains
παρόρθιος|tolerably straight, not quite straight
παρόριος|on the border or edge
παρόρμημα|incitement, stimulant
παρόρμησις|urging on, incilement
παρόρνυμι|urge on
παρόσον|in so far as
παρόχιον|public guest-house
παρόψημα|dainty side-dish
παρώμαλος|nearly even or equal
παρών|light ship
παρώνυμος|formed by a slight change, derivative
παρώπια2|blinkers
παρώπια|blinkers
παρώρεια|district on the side of a mountain
παρώτιον|part of the
παρᾶσσον|immediately, at once
παρῆλιξ|past one's prime
παρῳδέω|write by way of parody
παρῳδία|burlesque, parody
παρῳδητέον|one must parody, burlesque
παρῳδικός|burlesque
παρῳχημένως|in the past tense
παρῴα|hem, border
πασίγνωστος|all-known, famous
πασίδηλος|all-manifest
πασίολος|phaseolus
πασιάναξ|universal king
πασιδάμεια|universal queen
πασιθρύλητος|world-famous
πασικράτεια|universal queen
πασιμέλων|a care or interest to all, world-famous
πασιμεδέουσα|ruling over all
πασιπόρνη|common prostitute
πασιφίλητος|loved by all
πασιφαής|shining on all
πασιφανής|shining
πασμάτιον|spangles
πασπάλη|the finest meal
πασπαληφάγος|meal-fed
πασσαλίσκος|peg or pin in musical instruments
πασσαλευτός|pinned down
πασσαλεύω|peg, pin
πασσαλεῖον|peg, rivet
πασσαλιστής|one who plays with pegs
πασσαλοκοπέω|drive in pegs
πασσαλοκοπία|making a palisade
πασσαλόω|furnish with pegs
πασσυδιάζω|assemble
πασσυδόν|together
παστάς1|porch in front of the house
παστάς|porch in front of the house
παστέος|to be besprinkled
παστή|case, container
παστήρια|feast on sacrificial meats
παστείλη|last day of the year
παστιλλάριος|confectioner
παστιλλφόρισσα|female
παστιλλφόρος|carrying a
παστιλλόω|make into a paste
παστιλλώδης|like a pastille
παστοφόριον|chamber assigned to
παστός1|@
παστός2|@
παστός|@
παστόω|build a bridal chamber
παστῆον|case for a curtain
πασχητιάω|feel lust
πασχητιασμός|unnatural lust
πασχικός|one possessed
πατάγημα|rattle
πατάνεψις|an eel dressed in a
πατάνη|flat dish
πατάσσω|beat, knock
πατέομαι|eat
πατέριον|little father
πατέω|tread, walk
πατήρ|pitṛ[snull ]u
παταγέω|clatter, clash
παταγή|clapping
παταγοδρόμος|clattering as it runs
πατακτ<ρ>οράφος|whip-maker
πατελίς|limpet
πατελλοχάρων|Dish-friend, 'pique-assiette'
πατερία|office of
πατερίζω|say or call father
πατερεύω|hold office of
πατησμός|treading on, trampling
πατητήριον|place where grapes are trodden
πατητής|one who treads
πατητός|trodden
πατράδελφος|father's brother
πατρίδιον|papa, daddy
πατρίκιος|patricius
πατρίληκτος|inherited from a father
πατρίς|of one's fathers
πατραγαθία|virtue of one's father or ancestors
πατραδέλφεια|cousin by the father's side
πατραλίτωρ|one who sins against a father
πατραλοίας|one who slays or strikes his father, parricide
πατριά|lineage, descent
πατριάζω|take after one's father
πατριάρχης|father or chief of a race, patriarch
πατριαστί|with the father's name
πατρικιότης|patriciate
πατρικός|derived from one's fathers, hereditary
πατριστί|Bull.Soc. royale des lettres de Lund
πατριωτικός|of or belonging to a
πατριώτης|fellow-countryman
πατριῶτις|one's own country's
πατρογένειος|ancestral
πατρογέρων|hereditary member of the
πατρογενής|begotten of the father
πατροδίδακτος|taught by a father
πατροδώρητος|given by a father
πατροκασίγνητος|father's brother
πατροκασιγνήτη|father's sister
πατροκτονέω|murder one's father
πατροκτονία|murder of a father, parricide
πατροκτόνιον|parricidium
πατροκτόνος|murdering one's father, parricidal
πατροκόμος|taking care of her father
πατρολάθησις|neglect of one's father
πατρολέτωρ|parricide
πατρομήτωρ|mother's father
πατρομύστης|one whose father was a
πατρονομέω|hold office of
πατρονομία|paternal government
πατρονομικός|pertaining to fatherly rule
πατροπάτωρ|father's father
πατροπαράδοσις|ancestral tradition
πατροπαράδοτος|handed down from one's fathers, inherited
πατροποίητος|adopted as a father
πατρορραίστης|parricide
πατροστερής|reft of father, fatherless
πατροτυπία|act of beating one's father
πατροτυψία|beating of one's father
πατροτύπτης|one who beats his father
πατροφάγος|devouring one's patrimony, spendthrift
πατροφονέω|commit parricide
πατροφονεύς|murderer of one's father
πατροφόνος|slaying a father
πατροῦχος|heiress
πατρυιός|stepfather
πατρωιστής|worshipper of a
πατρωνίκιον|rights of a patron
πατρωνεία|patronatus
πατρωνεύω|to be a patron
πατρωνικός|of or for a
πατρωνυμέομαι|have the patronymic formed
πατρωνυμία|name taken from one's father, patronymic
πατρωνυμικός|derived from one's father's name, patronymic
πατρωνύμιος|by the father's side
πατρωός|stepfather
πατρόβουλος|hereditary senator
πατρόθεν|from or after a father
πατρόνομος|member of the council
πατρώνισσα|patroness
πατρώνυμος|named after his father, Quarterly of Dept. of Antiquities in Palestine
πατρῷος|of or from one's father, coming
πατταλίας|two-year-old stag or buck
παυροεπής|of few words
παυσάνεμος|stilling the wind
παυσίκακος|ending evils
παυσίλυπος|ending pain
παυσίνοσος|curing sickness
παυσίπονος|ending toil or hardship
παυσανίας|allayer of sorrow
παυσικάπη|projecting collar worn by slaves
παυσινύσταλος|stopping drowsiness
παυστέον|one must stop, put an end to
παυστήρ|one who stops or relieves
παυστήριος|fit for ending or relieving
παυσωλή|rest
παυσώδυνος|soothing pain
παφλάζω|boil, bluster
παφλαγών|the country
παχνήεις|frosty
παχνόω|congeal, solidify
παχνώδης|chill, cold
παχυβλεφαρία|swelling of the eyelids
παχυδάκτυλος|thick-fingered
παχυδερμέω|to be thick-skinned
παχυδερμία|thickness of skin
παχυκάλαμος|thick-stalked
παχυλός|thickish
παχυμέρεια|thickness of parts
παχυμερής|consisting of thick or coarse parts
παχυνευρέω|have swollen sinews
παχυντικός|having the power of thickening
παχυσκελής|thick-legged
παχυσμός|a growing fat
παχυτράχηλος|bull-necked
παχυχειλής|thick-lipped
παχύαιμος|thick-blooded
παχύδενδρος|thick with trees
παχύδερμος|thick-skinned
παχύκαυλος|with a thick stalk or stem
παχύκνημος|with fat or thick legs
παχύνοος|thick-witted
παχύνω|fatten
παχύπους|thick-footed
παχύριν|thick-nosed
παχύρραβδος|with thick shoots
παχύρριζος|with thick roots
παχύρρυγχος|thick-snouted
παχύς1|thick, stout
παχύς|thick, stout
παχύσαρκος|with stout fibres
παχύσπερμος|having thick semen
παχύστομος|thick at the brim
παχύτης|thickness
παχύφλοιος|with thick rind or bark
παχύφωνος|of coarse sound
παχύχυμος|with thick juices
παός|become a
παύσυβρις|checking insolence
παύω|make to end
παῖγμα|play, sport
παῖς|child
παῖστρα|gambling-hell
παῦλα|rest, pause
παῦρος|little, small
παῦσις|stopping, ceasing
πείθαρχος|obedient
πείθω|persuade
πείρασις|attempt
πείρινς|wicker basket
πείρω|pierce, run through
πεδάω|bind with fetters
πεδήτης2|one fettered, prisoner
πεδήτης|one fettered, prisoner
πεδίζω|fetter
πεδίον2|plain
πεδίον|plain
πεδίονδε|to the plain
πεδίσκη|small fetter
πεδανός|low-growing, short
πεδαφορά|removal
πεδητής1|one who fetters
πεδητής|one who fetters
πεδιάλλω|send for
πεδιάς|flat, level
πεδιάσιος|of the plain
πεδιήρης|abounding in plains
πεδιακός|of or on the plain
πεδιασιμαῖος|campester
πεδιεινός|flat, level
πεδιεῖς|party of the plain
πεδιονόμος|dwelling in the plain
πεδιοφύλαξ|guard of an estate
πεδιοῦχος|having a plain
πεδιώ|goddess of the Plain
πεδιώδης|like a plain, level
πεδοβάμων|earth-walking
πεδοιχνέω|go in search of, pursue
πεδοκοίτης|lying on the ground
πεδοσείων|earth-shaker
πεδοσκαφής|digging the earth
πεδοστιβής|earth-treading
πεδοτριβής|wearing the ground
πεδώρυχος|digging the soil
πεζέμπορος|trafficking by land
πεζέταιροι|foot-guards
πεζίδιον|ribbon
πεζίς2|border
πεζίς|border
πεζακοντιστής|foot-javelin-man
πεζαρχέω|command infantry
πεζευτικός|able to walk, going on foot
πεζεύω|go or travel on foot, walk
πεζικός|on foot
πεζοβατέω|walk
πεζοβόας|one who responds to the battle-cry on foot, foot-soldier
πεζογράφος|prose-writer
πεζογραφέω|write prose
πεζογραφία|prose-writing
πεζοθηρικός|of or for the hunting of land-animals
πεζολέκτης|prose-writer
πεζολεκτέω|write prose
πεζολογία|prose-writing
πεζολογικῶς|in prose
πεζολόγος|prosewriter
πεζομάχος|fighting on foot
πεζομαχέω|fight by land or on foot
πεζομαχία|battle by land
πεζονομικός|of or for the management of quadrupeds
πεζονόμος|commanding by land
πεζοπορέω|go on foot
πεζοπορία|landjourney
πεζοπόρος|going by land
πεζοφανής|like prose
πεζοφόρος|bordered
πεζός|on foot, walking
πεζότης|being furnished with feet
πειθάνωρ|obeying men, obedient
πειθήμων|persuaded, obedient
πειθήνιος|obedient to the rein
πειθανάγκη|compulsion under the disguise of persuasion, force majeure, duress
πειθαναλογία|special pleading
πειθαρχέω|obey one in authority
πειθαρχία|obedience to command
πειθαρχικός|obeying readily
πειθοδικαιόσυνος|pleading the cause of justice or obedient to justice
πειθώ|Persuasion
πεινάω|to be hungry
πειναλέος|hungry, Com. Adesp.
πεινητικός|suffering from hunger
πειρά2|sharp point
πειρά|sharp point
πειράζω|make proof or trial of
πειράω|attempt, endeavour, try
πειραίνω|fasten by the ends
πειραιεύς|from P.
πειραικός|over the border
πειρασμός|trial
πειραστής|tempter
πειραστικός|fitted for trying or testing, tentative
πειρατέον|one must attempt
πειρατήριον|trial
πειρατήριος|tentative : directed to production
πειρατής|brigand
πειρατεύω|to be a pirate
πειρατικός|fit for piracy
πειρητίζω|attempt, try, prove
πεισίβροτος|persuading mortals
πεισίμβροτος|won by persuading mortals
πεισιανάκτειος|of Peisianax
πεισιθάνατος|persuading to die
πεισιχάλινος|obeying the rein
πεισμάτιον|umbilical cord
πεισμάτιος|busied with cables
πεισματικός|like a cable
πεισμονή|persuasion
πειστέον|one must persuade
πειστήρ|one who obeys
πειστήριος|persuasive, winning
πειστικός|persuasive
πεκούλιον|peculium
πεκτέω|shear, clip
πεκτήρ|shearer
πελάγιος|of the sea
πελάζω|approach, draw near
πελάτης|one who approaches or comes near
πελέκημα|chips
πελέκησις|hewing
πελίδνωμα|livid spot
πελίωσις|extravasation of blood
πελαγίζω|form a sea or lake
πελαγισμός|being at sea
πελαγοδρομέω|run or sail on the open sea
πελαγοδρόμος|sailing on the sea
πελαγόσδε|to, into
πελαγόστροφος|roving through the sea
πελαγόω|turn into sea, flood
πελαγῖτις|of or on the sea
πελανός|any thick liquid substance
πελαργιδεύς|young stork
πελαργικός|of the stork
πελαργός|stork, Ciconia alba
πελαργόχρως|stork-coloured
πελαργώδης|like a stork
πελασγιῶται|inhabitants of Pelasgiotis
πελατικός|of or for a
πελείους|lividus
πελεθοβάψ|one who washes away ordure
πελειάς|fruitpigeon, Crocopus chlorogaster
πελειοθρέμμων|dove-nurturing
πελεκάν|pelican, Pelecanus onocrotalus
πελεκάω|hew or shape with an axe
πελεκίζω|cut off with an axe
πελεκανός|fulica
πελεκητής|hewer
πελεκητρίς|dolabra
πελεκητός|hewn
πελεκινοειδής|in the shape of a dovetail
πελεκισμός|death by the axe
πελεκοφόρος|axe-bearer
πελεκᾶς|woodpecker
πελεκῖνος|pelican
πελεμίζω|shake, cause to quiver or tremble
πελιαίνομαι|to be or become livid
πελιδνός|livid
πελιός|discoloured by extravasated blood
πελιότης|livid colour
πελλίς|pelvis.
πελλαικόν|Palestine Expl. Fund Quarterly
πελλαντήρ|one who milks into a pail
πελλοράφος|pellis
πελλός|dark-coloured, dusky
πελλᾶς|old man
πελματίζω|scrape the sole of the foot
πελματόομαι|become worn in the sole
πελοποννήσιος|in the Peloponnesian
πελοπόννησος|the Peloponnesus
πελτάζω|serve as a
πελταστής|one who bears a light shield
πελτασταί|in the best manner of
πελταστικός|skilled in the use of the
